[2023-05-30 16:00:02,742] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,746] INFO [Broker id=0] Leader wikimedia_recentchange-0 with topic id Some(Y_YOQk-UTI6c3IrV0JCUFw) starts at leader epoch 0 from offset 1607 with partition epoch 0, high watermark 1607, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,746] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,750] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,752] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,752] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,756] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,760] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,760] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-30 16:00:02,763] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(JJsrft7PTI2cTbVVQ89WuQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
